Year,CABLE-POP,CARDAMOM,CLASSIC,CLM-FATES,CLM6.0,DLEM,E3SM,EDv3,ELM-FATES,GDSTEM,IBIS,ISAM,JSBACH,JULES,LPJ-EOSIM,LPJ-GUESS,LPJmL,LPX-Bern,ORCHIDEE,VISIT-UT
1818,-0.915937156,,-0.800028534,1.09586389,-0.200425063,-1.244377149,0.523007956,0.059929747,-0.298565138,-0.229851756,-0.42359573,0.262824062,-0.650707701,-0.079101973,0.626247621,-1.248799428,-1.518340172,-0.404673441,-0.488009753,-0.246812123
1819,-0.173936171,,-0.622448635,-0.105041442,-0.738182366,0.439396569,0.009049381,-0.149388971,-0.35587446,0.36518669,-0.267775119,-0.890942386,0.731204609,-1.345288127,0.077084647,-1.476568007,0.065602167,-0.685628808,-0.505596084,-1.074966828
1820,1.561824387,,0.015133979,0.620369199,-0.024218328,-1.026686716,0.239471096,1.000471813,0.552916159,0.139499456,0.087064069,-0.222533927,-0.138258053,0.28516599,0.847727711,-0.7903316,-1.530137322,0.227716365,0.012895503,0.387781123
1821,-0.762868409,,-1.618332128,0.628497941,-0.117846483,-1.40805958,0.084364661,0.262298846,-0.222878441,-1.360912688,-0.208065745,-0.584380204,-1.697207582,-0.629243267,0.519110543,0.311317612,1.287510027,-0.61454625,-0.162105243,-0.242013681
1822,1.060131547,,2.382846709,0.198423512,-0.58370682,0.380043671,-0.793135458,1.033980399,-0.2978141,-0.54901523,-0.880198252,-1.013332384,0.646094841,-0.731575599,-0.505973293,-0.320902142,-1.042667689,-1.513959088,-0.439660095,-1.731286146
1823,1.333637616,,0.439884797,0.162111022,0.170846636,0.647485169,0.153622214,0.310557706,0.174558337,0.123574573,0.545959787,0.070426699,1.075610921,0.226323265,-0.032192261,1.551642817,-0.2500403,-0.144353336,0.456149993,0.154649247
1824,-1.686374892,,-0.827544938,0.561255458,0.376606872,-1.623840577,0.575953951,-0.55335752,-0.044858234,-0.701739467,0.554753673,0.468199183,-1.853393558,0.383576118,0.845021057,0.625940252,-1.299090052,0.684186396,0.003399691,1.221442186
1825,-0.762552817,,0.806147482,-0.295302821,-0.795098003,0.342941208,-0.444811361,-0.340319267,-0.573759921,-0.172765771,-0.680859354,-1.104164956,-0.767750366,-1.329546215,0.643704572,-0.024751002,1.427221222,-0.346480132,-0.705927954,-0.674274196
1826,0.218974843,,-0.45364415,0.01223558,0.344231842,0.180365662,-0.191660018,0.08178673,-0.596090803,-0.256205153,-0.13190426,0.080162158,1.116392547,0.640687131,1.003149963,0.019583886,-0.174914156,0.571037216,0.322281922,1.049352856
1827,-0.504260925,,-0.578724414,0.269643749,-0.228037063,-0.174001215,0.10126015,-0.395457459,-0.146991422,-0.509425844,-0.623779992,-0.20063674,-1.161363023,0.18539009,1.082865845,0.943819639,-0.861660107,0.529317872,-0.147552052,0.41681245
1828,-0.283541673,,1.79517813,0.132991152,-0.033034638,-0.288968118,-0.025641198,-0.057015632,-0.20413911,-0.27547082,-0.055394152,-0.134272121,-0.81897302,-0.068674138,-0.303611575,-0.742460055,0.741779539,0.53968768,-0.429095049,0.170977625
1829,0.190113949,,1.63910896,0.218302043,-0.1415073,0.067877329,0.045367914,-0.142944885,-0.288756399,-0.61712841,-0.180284841,-0.206780614,-0.144350914,-0.205330663,-0.971557672,-0.246776964,0.109321571,0.494077964,0.230500948,0.438793411
